Project	Column	Card	CardURL	Type	Number	Labels	Repo	State	CreatedAt	UpdatedAt	ClosedAt	ClosedBy	Title	Size
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/issues/8210	Issue	8210	[]	dataverse	closed	2021-11-03 20:14:00	2022-03-16 20:40:44	2022-03-16 20:40:44		Native API: Import ddi dataset does not appear to be working, fails on parsing subject.	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8483	PullRequest	8483	[]	dataverse	closed	2022-03-14 16:58:05	2022-03-16 20:45:55	2022-03-16 20:40:44		8210 importddi fix	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8495	PullRequest	8495	[]	dataverse	closed	2022-03-16 13:49:00	2022-03-16 19:18:39	2022-03-16 19:18:39		Installer fixes, reflecting the new pom file structure #8494	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8493	PullRequest	8493	[]	dataverse	closed	2022-03-15 18:28:23	2022-03-16 18:53:50	2022-03-16 18:53:50		IQSS/multilicense_fixes	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8477	PullRequest	8477	[]	dataverse	closed	2022-03-09 15:54:12	2022-03-17 19:44:40	2022-03-14 19:16:55		Resolved ClassCastException	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/issues/8064	Issue	8064	[]	dataverse	closed	2021-08-18 11:10:42	2022-03-14 19:05:16	2022-03-14 19:05:16		Payara 5.2022.2+ Update	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8480	PullRequest	8480	[]	dataverse	closed	2022-03-11 11:37:56	2022-03-17 19:46:01	2022-03-14 18:54:53		Documentation fixes #8476	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8482	PullRequest	8482	[]	dataverse	closed	2022-03-11 18:34:03	2022-03-17 19:46:21	2022-03-14 18:50:53		remove TwoRavens	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8473	PullRequest	8473	[]	dataverse	closed	2022-03-08 21:00:08	2022-03-14 14:39:48	2022-03-14 14:39:43		8452 multiple coll mode	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8392	PullRequest	8392	[]	dataverse	closed	2022-02-02 18:45:53	2022-03-17 19:43:58	2022-03-08 16:34:40		8344 file upload: default mime type 	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8440	PullRequest	8440	[]	dataverse	closed	2022-02-18 22:04:41	2022-03-17 19:44:21	2022-03-07 19:40:42		IQSS/8422 default to allow dataset level choice of metadatalanguage	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8395	PullRequest	8395	"[Label(name=""Feature: Code Infrastructure""), Label(name=""Feature: Developer Guide""), Label(name=""Feature: Installation Guide"")]"	dataverse	closed	2022-02-03 15:05:45	2022-03-29 14:15:55	2022-03-04 20:29:25		8394 maven mods	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8455	PullRequest	8455	[]	dataverse	closed	2022-03-01 08:58:18	2022-03-07 18:43:37	2022-03-04 20:11:49		Validate URLs before saving as metadata	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8460	PullRequest	8460	[]	dataverse	closed	2022-03-03 19:14:13	2022-03-04 19:55:10	2022-03-03 20:28:07		fix 404 to Renku docs	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/issues/8388	Issue	8388	[]	dataverse	closed	2022-02-02 16:04:56	2022-03-03 20:04:12	2022-03-03 20:04:12		As someone approving pull requests, I want automation to move them in to QA like before	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8458	PullRequest	8458	[]	dataverse	closed	2022-03-03 18:48:59	2022-03-04 19:55:23	2022-03-03 19:00:23		fix copy/paste typo	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8429	PullRequest	8429	"[Label(name=""dependencies"")]"	dataverse	closed	2022-02-16 01:14:34	2022-03-04 19:55:27	2022-03-03 16:43:04		Bump postgresql from 42.2.19 to 42.3.3	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8445	PullRequest	8445	[]	dataverse	closed	2022-02-22 15:11:18	2022-03-02 20:43:41	2022-02-24 17:02:45		Additions to the Locks API	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8423	PullRequest	8423	[]	dataverse	closed	2022-02-14 19:57:35	2022-03-02 20:17:39	2022-02-24 15:17:16		add CC BY, improve license config docs #8347	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8434	PullRequest	8434	[]	dataverse	closed	2022-02-17 22:18:08	2022-03-02 20:17:18	2022-02-22 19:18:23		IQSS/#8430 - errors with missing i18n files	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8415	PullRequest	8415	[]	dataverse	closed	2022-02-10 18:58:48	2022-02-18 21:06:49	2022-02-18 16:55:09		47 upgrade solr 8 11	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8413	PullRequest	8413	[]	dataverse	closed	2022-02-09 23:28:02	2022-02-18 21:06:32	2022-02-17 15:37:34		IQSS/8407 fix - update CC0 1.0 info in db/align json with other licenses	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8427	PullRequest	8427	[]	dataverse	closed	2022-02-15 21:30:38	2022-02-18 21:08:54	2022-02-16 20:10:20		API Guide: bySubjecttoMonth should be bySubject/toMonth	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8418	PullRequest	8418	[]	dataverse	closed	2022-02-11 13:38:52	2022-02-18 21:07:48	2022-02-15 20:30:33		IQSS#8417 Only show role assignments that are related to the object type (Dataverse/Dataset/DataFile)	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8421	PullRequest	8421	[]	dataverse	closed	2022-02-11 22:12:30	2022-02-18 21:08:35	2022-02-15 20:00:56		Update widgets.js	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8399	PullRequest	8399	"[Label(name=""DANS"")]"	dataverse	closed	2022-02-04 18:41:33	2022-02-18 21:03:18	2022-02-14 21:05:53		IQSS/8398 - move bag when complete	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8420	PullRequest	8420	[]	dataverse	closed	2022-02-11 21:27:55	2022-02-18 21:08:21	2022-02-11 22:11:20		IQSS/8219 - only close stream if opened (for S3)	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8416	PullRequest	8416	[]	dataverse	closed	2022-02-10 19:37:38	2022-02-18 21:07:33	2022-02-11 21:56:48		add GitHub integrations	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8419	PullRequest	8419	"[Label(name=""Feature: Code Infrastructure"")]"	dataverse	closed	2022-02-11 16:04:04	2022-03-08 08:36:44	2022-02-11 19:11:44		8094 disable 17 ci	0
