Project	Column	Card	CardURL	Type	Number	Labels	Repo	State	CreatedAt	UpdatedAt	ClosedAt	ClosedBy	Title	Size
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8262	PullRequest	8262	[]	dataverse	closed	2021-11-30 19:50:14	2022-02-10 14:30:05	2021-11-30 22:17:31		Identify geojson file types	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8257	PullRequest	8257	[]	dataverse	closed	2021-11-23 19:50:14	2021-11-30 22:25:10	2021-11-30 21:14:21		Iqss/8247 flyout menu accessibility	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8242	PullRequest	8242	[]	dataverse	closed	2021-11-15 20:48:39	2021-11-30 01:43:52	2021-11-29 21:52:40		remove invalid characters from input #8018	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/issues/8166	Issue	8166	[]	dataverse	closed	2021-10-19 17:42:10	2022-03-03 19:44:35	2021-11-29 18:47:56		Implement Protected Branches	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8152	PullRequest	8152	[]	dataverse	closed	2021-10-14 15:24:24	2021-11-29 18:57:17	2021-11-29 18:28:35		8097 improve index speed for many files	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8237	PullRequest	8237	[]	dataverse	closed	2021-11-10 16:37:51	2021-11-24 19:44:08	2021-11-24 17:16:35		Auxiliary File API Enhancements	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8253	PullRequest	8253	[]	dataverse	closed	2021-11-22 15:16:18	2021-11-22 16:49:31	2021-11-22 16:49:31		IQSS/8252: Correct error response to 403/forbidden in test	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8245	PullRequest	8245	[]	dataverse	closed	2021-11-17 18:27:55	2021-11-22 14:49:15	2021-11-19 21:34:14		8155 external metadata validation	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8024	PullRequest	8024	[]	dataverse	closed	2021-07-24 08:46:29	2021-11-22 14:49:22	2021-11-19 19:35:12		8023 doc adminguide add	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8174	PullRequest	8174	"[Label(name=""DANS"")]"	dataverse	closed	2021-10-21 19:40:40	2021-11-22 14:49:34	2021-11-19 19:08:43		Iqss/8109 separate managefilepermissions	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/7979	PullRequest	7979	[]	dataverse	closed	2021-06-29 17:00:14	2021-11-17 17:23:21	2021-11-17 16:45:05		#7978: linking ORCID from the metadata tab.	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8234	PullRequest	8234	[]	dataverse	closed	2021-11-10 10:31:02	2021-11-15 21:55:17	2021-11-15 20:40:13		#8233 documenting git commands to synchronise an in progress PR with …	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8238	PullRequest	8238	[]	dataverse	closed	2021-11-10 16:57:53	2021-11-15 21:55:23	2021-11-15 20:33:42		Broken links in shibb docs	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8211	PullRequest	8211	[]	dataverse	closed	2021-11-04 00:35:39	2021-11-15 21:55:32	2021-11-15 20:20:05		2912 revoke role command description add	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8192	PullRequest	8192	[]	dataverse	closed	2021-10-27 18:01:42	2021-11-15 17:40:45	2021-11-15 16:43:16		remove variable metadata API endpoints	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/7916	PullRequest	7916	"[Label(name=""DANS"")]"	dataverse	closed	2021-05-31 16:02:21	2021-11-29 09:15:54	2021-11-15 15:30:27		Account migration	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8189	PullRequest	8189	[]	dataverse	closed	2021-10-26 21:08:47	2021-11-15 14:32:17	2021-11-10 21:47:51		transiently cache any non-null DatasetVersionDifference that is created	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8226	PullRequest	8226	[]	dataverse	closed	2021-11-08 22:49:54	2021-11-09 19:27:48	2021-11-09 16:53:55		Update image in doc	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8179	PullRequest	8179	[]	dataverse	closed	2021-10-22 15:43:49	2021-11-09 16:07:38	2021-11-09 15:01:24		add section on AWS RDS monitoring #8173	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8087	PullRequest	8087	[]	dataverse	closed	2021-09-03 20:57:38	2021-11-09 16:07:32	2021-11-08 22:21:11		"support HTTP ""Range"" header #6937"	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8222	PullRequest	8222	[]	dataverse	closed	2021-11-08 14:33:36	2021-11-09 16:07:24	2021-11-08 19:32:48		updating link to html instead of rst	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8190	PullRequest	8190	[]	dataverse	closed	2021-10-26 22:27:07	2021-11-05 15:48:24	2021-11-05 15:48:21		8177 - 5.8 Release Notes	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8203	PullRequest	8203	[]	dataverse	closed	2021-11-02 14:54:26	2021-11-04 20:14:51	2021-11-04 20:14:51		More efficient embargo labels	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8182	PullRequest	8182	[]	dataverse	closed	2021-10-22 20:47:04	2021-11-04 17:31:49	2021-11-04 17:31:48		#8180 - reset the validateFilesOutcome flag upon files table selection change	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8207	PullRequest	8207	[]	dataverse	closed	2021-11-03 14:00:13	2021-11-04 14:23:23	2021-11-04 14:23:23		8204 - handle empty AllowedCurationLabels setting	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8154	PullRequest	8154	"[Label(name=""DANS"")]"	dataverse	closed	2021-10-14 17:59:47	2021-11-03 20:45:08	2021-11-03 20:45:07		Make FakePID provider smarter	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8130	PullRequest	8130	"[Label(name=""Feature: Metadata""), Label(name=""Feature: Admin Guide""), Label(name=""User Role: Sysadmin"")]"	dataverse	closed	2021-10-04 12:46:28	2021-11-03 15:42:16	2021-11-03 13:27:41		7903 solr config hack	0
